,w5_p_outcome,w5_hhid,pid,w5_p_proxyassent,w5_p_intrv_d,w5_p_intrv_m,w5_p_intrv_y,w5_p_intrv_c,w5_p_refexpl,w5_p_refexpl_o,w5_p_refint,w5_p_refgen,w5_p_refage,w5_p_respid,w5_p_resprox,w5_p_resprox_o,w5_p_sample,w5_p_duration,w5_p_dob_m,w5_p_dob_y,w5_p_gen,w5_p_popgrp,w5_p_popgrp_o,w5_p_parhpid,w5_p_mar,w5_p_mary_m,w5_p_mary_l,w5_p_evmar,w5_p_curmarst,w5_p_timewid,w5_p_timediv,w5_p_lng,w5_p_lng_o,w5_p_slpw,w5_p_slpm,w5_p_lvevoth,w5_p_brnprov,w5_p_brnprov_flg,w5_p_brndc_2001,w5_p_brndc_2001_flg,w5_p_brndc_2011,w5_p_brndc_2011_flg,w5_p_brncc,w5_p_brncc_flg,w5_p_lv94prov,w5_p_lv94prov_flg,w5_p_lv15prov,w5_p_lv15prov_flg,w5_p_moveyr,w5_p_lvbfprov,w5_p_lvbfdc_2001,w5_p_lvbfdc_2011,w5_p_lvbfcc,w5_p_emactcur,w5_p_emactcur_o,w5_p_em1occ_isco_c,w5_p_em1prod_c,w5_p_em1inc_brac1,w5_p_em1inc_brac2,w5_p_em1inc_brac3,w5_p_em1inc_brac4,w5_p_em1inc_brac5,w5_p_em1inc_brac6,w5_p_em1inc_cat,w5_p_incgovpen,w5_p_incgovpen_v,w5_p_incdis,w5_p_incdis_v,w5_p_incchld,w5_p_incchld_v,w5_p_incfos,w5_p_incfos_v,w5_p_inccare,w5_p_inccare_v,w5_p_incaid,w5_p_incaid_v,w5_p_incwar,w5_p_incwar_v,w5_p_incuif,w5_p_incuif_v,w5_p_incwc,w5_p_incwc_v,w5_p_incpfnd,w5_p_incpfnd_v,w5_p_incret,w5_p_incret_v,w5_p_incretp,w5_p_incretp_v,w5_p_incrnt,w5_p_incrnt_v,w5_p_incint,w5_p_incint_v,w5_p_incretr,w5_p_incretr_v,w5_p_incinh,w5_p_incinh_v,w5_p_inclob,w5_p_inclob_v,w5_p_incgif,w5_p_incgif_v,w5_p_incloan,w5_p_incloan_v,w5_p_incsale,w5_p_incsale_v,w5_p_inco,w5_p_inco_o,w5_p_inco_v,w5_p_grcur,w5_p_grcurtyp,w5_p_grcurecpid,w5_p_grcurecrel,w5_p_edschgrd,w5_p_edschgrd_flg,w5_p_edschgrd_o,w5_p_edschyr,w5_p_edschyr_flg,w5_p_edschage,w5_p_edter,w5_p_edter_flg,w5_p_edterlev,w5_p_edterlev_o,w5_p_edteryr,w5_p_ed17cur,w5_p_ed17curatt,w5_p_ed17curlev,w5_p_ed17curlev_o,w5_p_ed17cursub,w5_p_ed17cursub_o,w5_p_ed17curmat,w5_p_ed17wdex,w5_p_hldes,w5_p_hltb,w5_p_hlbp,w5_p_hldia,w5_p_hlstrk,w5_p_hlast,w5_p_hlhrt,w5_p_hlcan,w5_p_hlser,w5_p_hlser1,w5_p_hlser2,w5_p_hlser3,w5_p_hlser4,w5_p_hlser_o,w5_p_hlvisaid,w5_p_hlhraid,w5_p_intlng1,w5_p_intlng2,w5_p_intlng3,w5_p_intlng4,w5_p_intresp,w5_p_intrespact,w5_p_intresphear,w5_p_intrespque,w5_p_intresppid1,w5_p_intresppid2,w5_p_intresppid3,w5_p_intrvinfo
0,Successfully Interviewed,500000,636991,Yes,3rd,October,2017.0,16,,,,,,640576.0,Refused but allowed a proxy,,2017 sample,10.0,April,1983.0,Female,Coloured,,640576.0,Formally married,5.0,,,,,,English,,7 Nights,30 Nights,Yes,Eastern Cape,Surveyed,Nelson Mandela Metropolitan Municipality,Surveyed,Nelson Mandela Bay (NMA),Surveyed,,,Eastern Cape,Surveyed,Eastern Cape,Surveyed,2002.0,Outside RSA,,,New Caledonia,Working for pay,,Professionals,"Community, social and personal services",More than,,More than,,More than,About equal to,"R24,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2000.0,Surveyed,,Yes,Surveyed,"Higher Degree (Masters, Doctorate)",,2014.0,,,,,,,,,Good,No,No,Yes,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
1,Successfully Interviewed,500003,787751,Yes,12th,March,2017.0,95,,,,,,703450.0,Deaf or has speech problems,,2008 sample,11.0,November,1928.0,Female,African,,"No, spouse or partner is deceased",,,,,,Don't know,,Setswana,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Retired,,,,,,,,,,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Fair,No,Yes,No,No,No,No,No,Yes,"Problems with sight, hearing or speech",,,,,No,No,Setswana,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
2,Successfully Interviewed,500030,405153,Yes,9th,April,2017.0,129,,,,,,745077.0,Temporarily away from home for other reasons  (specify),This Person Is Not Going To Be Home Until The Field Has Gone So She Agreed That Her Sister Can Answer On Her Behalf.,2008 sample,14.0,December,1995.0,Female,African,,"No, partner not part of this household",,,,No,,,,Sepedi,,6 Nights,28 Nights,No,,,,,,,,,,,,,,,,,,Other (specify),Doing Nothing,,,,,,,,,,No,,No,,Yes,350.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2015.0,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,Sepedi,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
3,Successfully Interviewed,500032,501355,Yes,12th,February,2017.0,97,,,,,,310227.0,Temporarily away from home for other reasons  (specify),He Is Too Busy,2008 sample,22.0,May,1981.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Unemployed and actively searching for a job in the last four weeks,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,1999.0,Surveyed,,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,Yes,310233.0,,,Very good
4,Successfully Interviewed,500034,412188,Yes,29th,October,2017.0,28,,,,,,323459.0,Away on business/for work,,2008 sample,25.0,October,1997.0,Male,Coloured,,"No, no spouse or partner",,,,No,,,,Afrikaans,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Managers,Wholesale and Retail trade; repair etc;hotels and restaurants,Don't know,,,,,,Don't Know,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2015.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
5,Successfully Interviewed,500040,408054,Yes,8th,September,2017.0,96,,,,,,720766.0,Studying away from home,,2008 sample,10.0,June,1994.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,Yes,Eastern Cape,Surveyed,O.R.Tambo District Municipality,Surveyed,O.R.Tambo (DC15),Surveyed,,,Eastern Cape,Surveyed,Missing,Derived,2008.0,KwaZulu-Natal,Sisonke District Municipality,Sisonke (DC43),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Diploma requiring Grade 12/Std. 10,,Don't know,,"Yes, with matric exemption",,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,"Neither good, nor bad"
6,Successfully Interviewed,500048,305954,Yes,3rd,June,2017.0,83,,,,,,742497.0,Too old,,2008 sample,18.0,September,1928.0,Female,African,,"No, spouse or partner is deceased",,,,,,Don't know,,Sesotho,,7 Nights,30 Nights,Yes,Free State,Surveyed,Lejweleputswa District Municipality,Surveyed,Missing,Surveyed,,,Mpumalanga,Surveyed,Gauteng,Derived,1992.0,Mpumalanga,Missing,Missing,,Long term sick or disabled,,,,,,,,,,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 1 (previously Sub A/Class 1),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Fair,No,Yes,Yes,No,No,Don't know,No,Don't know,,,,,,No,No,IsiZulu,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
7,Successfully Interviewed,500052,301338,Yes,8th,February,2017.0,45,,,,,,301340.0,Permanently too unwell or disabled,,2008 sample,30.0,October,1983.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1560.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Poor,No,No,No,No,No,No,No,Yes,Psychological or psychiatric disorder,,,,,No,No,IsiXhosa,IsiZulu,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
8,Successfully Interviewed,500065,639809,Yes,23rd,November,2017.0,48,,,,,,651943.0,Away on business/for work,,2017 sample,22.0,January,1963.0,Male,White,,651943.0,Formally married,30.0,,,,,,English,,7 Nights,30 Nights,Yes,KwaZulu-Natal,Surveyed,Ethekwini Municipality,Surveyed,eThekwini (ETH),Surveyed,,,KwaZulu-Natal,Surveyed,KwaZulu-Natal,Surveyed,1987.0,KwaZulu-Natal,Ethekwini Municipality,eThekwini (ETH),,Working for pay,,Missing,"Transport, storage and communication",More than,,More than,,More than,More than,">R24,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,Yes,Surveyed,"Higher Degree (Masters, Doctorate)",,1990.0,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
9,Successfully Interviewed,500066,409061,Yes,15th,August,2017.0,67,,,,,,316260.0,Studying away from home,,2008 sample,6.0,August,1997.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,N1 (NATED)/NTC 1,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
